 
Iteration 1 Start time Mon Mar 24 17:50:30 IST 2014
Creation of TSM RTSM110,PASSED
Creation of NFS Volume RTSM110NFS1,PASSED
Creation of ISCSI Volume RTSM110ISCSI1,PASSED
Creation of CIFS Volume RTSM110CIFS1,PASSED
Mount of NFS Volume RTSM110NFS1,PASSED,
Creation of File on NFS Volume RTSM110NFS1,PASSED,
Login of iSCSI Volume RTSM110ISCSI1,FAILED,iscsiadm: no records found!

Further Execution of TCs Skipped on iSCSI Volume RTSM110ISCSI1,Due to Login Failed, 
Mount of CIFS Volume RTSM110CIFS1,PASSED,
Creation of File on CIFS Volume RTSM110CIFS1,PASSED,
Deletion of TSM RTSM110,PASSED
Deletion of NFS Volume RTSM110NFS1,PASSED
Deletion of ISCSI Volume RTSM110ISCSI1,PASSED
Deletion of CIFS Volume RTSM110CIFS1,PASSED
Iteration 1 End time Mon Mar 24 17:52:14 IST 2014
 
Creation of ISCSI Volume TSM1ISCSI1,PASSED
Creation of ISCSI Volume TSM1ISCSI2,PASSED
Creation of ISCSI Volume TSM1ISCSI3,PASSED
Creation of ISCSI Volume TSM1ISCSI4,PASSED
Creation of ISCSI Volume TSM1ISCSI5,PASSED
